고객ID,나이,소득,근속연수,복지비사용액,만족도점수,건강지수,지원인원,성별,결혼상태,고용형태,학력,복지등급,지역,장애여부,웰니스참여,보육지원,정신건강지원,기록일자
CUST100017,46.076502229695485,2919336.0,5.149592278701391,3808.0413181485987,70.0496765391997,34.153201003853106,3.0857302351176434,남성,,계약직,고졸,표준,부산,없음,예,아니오,아니오,2025-09-18
CUST100018,44.12985409792051,3115583.0,23.10913062496789,47656.0516626067,71.68176565951383,81.76774331055846,13.102288763546365,남성,기혼,정규직,학사,표준,울산,없음,예,아니오,아니오,2025-09-18
CUST100019,48.995007465646516,4008999.0,25.61597202339282,87199.05840821052,98.34297526041458,91.74483237194467,24.93693738253151,남성,미혼,정규직,전문학사,프리미엄,대전,없음,아니오,아니오,예,2025-09-18
CUST100020,90.81162989612478,4127402.0,40.0011825216267,115635.07725538789,112.02535026122223,105.04455631011388,32.74265238599053,여성,미혼,정규직,전문학사,프리미엄,대구,없음,예,아니오,아니오,2025-09-18
CUST100021,48.75606717629484,2811559.0,17.7386747309135,35357.056247393964,79.26837074151405,85.69355129014622,10.739406102687902,여성,미혼,정규직,고졸,실버,서울,없음,예,아니오,아니오,2025-09-18
CUST100022,,3470774.0,,,,,,여성,이혼,정규직,석사,표준,광주,없음,아니오,아니오,아니오,2025-09-18
CUST100023,38.0136507215217,6070724.0,15.345715471592982,50917.03926321084,73.54802835016892,46.45332948736523,13.983013542087793,여성,이혼,정규직,고졸,표준,인천,없음,아니오,아니오,아니오,2025-09-18
CUST100024,62.13598392900344,5573051.0,37.842693248517364,98660.05679573299,94.33250186262403,67.22400583872778,27.073446406402322,남성,미혼,정규직,전문학사,표준,광주,없음,아니오,아니오,예,2025-09-18
CUST100025,93.25445498050061,4023588.0,60.12780347446702,182776.08257752072,125.72940923131287,121.20060380676394,51.131900472225034,여성,미혼,정규직,고졸,기본,서울,없음,아니오,아니오,아니오,2025-09-18
CUST100026,,3545604.0,,,,,,여성,미혼,정규직,학사,표준,부산,없음,아니오,아니오,아니오,2025-09-18
CUST100027,52.201222371262475,,18.774670941529273,22448.048771561895,78.78042032912273,44.27082915970496,6.19742745245351,여성,기혼,정규직,전문학사,표준,서울,없음,아니오,아니오,아니오,2025-09-18
CUST100028,46.52064506706885,4236221.0,20.26528620238821,45415.05756264305,65.08538081590024,109.62443952120513,15.493828739173884,여성,,계약직,전문학사,표준,대전,없음,아니오,예,예,2025-09-18
CUST100029,107.53456043379217,2272648.0,77.14478146120136,252981.08787621112,168.25185608791105,97.10744354864644,70.36103084707834,여성,미혼,은퇴,학사,표준,대전,없음,아니오,아니오,아니오,2025-09-18
CUST100030,,3191148.0,,,,,,남성,기혼,정규직,학사,기본,대전,없음,아니오,아니오,아니오,2025-09-18
CUST100031,71.54623543492141,1497699.0,9.10706938759351,27329.05761260537,81.10497983255958,70.554984350544,7.54372025821626,남성,미혼,정규직,고졸,표준,대구,없음,아니오,아니오,아니오,2025-09-18
CUST100032,,3979067.0,,,,,,여성,기혼,정규직,고졸,표준,부산,없음,아니오,아니오,아니오,2025-09-18
CUST100033,,4276635.0,,,,,,,기혼,정규직,전문학사,기본,울산,없음,예,아니오,아니오,2025-09-18
CUST100034,65.77395208106407,2920176.0,26.954798674476763,53622.06308519939,87.39769089699291,85.52225734752292,14.747936863118943,여성,미혼,정규직,박사,표준,대전,경증,아니오,아니오,아니오,2025-09-18
CUST100035,32.20668519967579,5388784.0,25.31415738603514,18819.04525635693,66.90145450672019,53.586691229285265,7.198721808391875,남성,기혼,정규직,학사,표준,울산,없음,예,아니오,예,2025-09-18
CUST100036,73.12674665845165,2029081.0,38.853361016635205,105863.07118987343,106.7858040068056,101.97353038076636,30.060387162641184,여성,기혼,무직,학사,표준,인천,없음,아니오,아니오,예,2025-09-18
CUST100037,45.15777316235994,,32.2625406786316,98736.05268327819,94.54877005899031,72.63688362931437,30.08922342006632,여성,미혼,정규직,전문학사,기본,인천,없음,아니오,아니오,아니오,2025-09-18
CUST100038,,3769342.0,,,,,,남성,미혼,계약직,학사,표준,울산,없음,아니오,아니오,예,2025-09-18
CUST100039,70.7010083166606,4756517.0,31.086449559396822,97088.05571726683,82.51093308351024,72.34138368935963,27.641904969199288,여성,이혼,정규직,고졸,프리미엄,기타,없음,예,아니오,아니오,2025-09-18
CUST100040,115.75659299549027,,72.1481712651518,239285.074427547,124.15766226638085,78.68369669598539,67.59655044572776,,,정규직,고졸,표준,서울,없음,아니오,예,예,2025-09-18
CUST100041,83.60174637331973,2949338.0,45.94814893453687,144052.0627817841,90.37832673171913,85.71510558087604,40.508389887572534,여성,미혼,정규직,학사,프리미엄,대전,경증,예,아니오,아니오,2025-09-18
CUST100042,74.2007975813043,4794417.0,39.627395064414266,124372.06329227108,94.87148583119509,90.44978677765965,35.1203276440281,남성,기혼,정규직,학사,표준,대구,없음,아니오,아니오,예,2025-09-18
CUST100043,89.49528243169163,3453789.0,61.34139435320552,187331.07188332352,83.95803346335873,129.8916580441287,51.36774239733473,남성,기혼,정규직,고졸,표준,기타,없음,아니오,아니오,아니오,2025-09-18
CUST100044,49.50386795690486,3292847.0,28.91329227203143,92726.0506742271,92.42693906386694,64.78185770657062,26.44229798483089,남성,기혼,정규직,학사,프리미엄,인천,없음,예,아니오,아니오,2025-09-18
CUST100045,52.78547173220782,4560391.0,32.55720024427641,71903.05181852392,83.41620275049361,60.14305050681351,20.741425270573753,남성,기혼,정규직,박사,표준,광주,경증,아니오,아니오,아니오,2025-09-18
CUST100046,64.88667666084318,4282787.0,36.597522673830206,104988.0689416365,102.64872212729878,107.75811520711702,30.818122409675915,여성,기혼,정규직,학사,프리미엄,부산,없음,예,아니오,아니오,2025-09-18
CUST100047,56.83067286586494,1608329.0,9.00919375323677,10183.047539779816,75.47331968262137,42.7006874905901,2.838276539713811,여성,미혼,비정규직,학사,표준,광주,경증,아니오,아니오,아니오,2025-09-18
CUST100048,71.57842320971996,5271848.0,31.49695777992561,92950.06881025153,115.99937176393628,84.34888759121964,27.522371278878474,여성,기혼,무직,박사,표준,울산,없음,예,아니오,아니오,2025-09-18
CUST100049,41.30539584955586,5156109.0,29.36393396685314,77384.06211550406,120.89416215302994,80.87435908104145,22.253225155725627,여성,기혼,정규직,석사,프리미엄,기타,없음,예,아니오,아니오,2025-09-18
CUST100050,76.21530824341205,2749324.0,43.16463179100408,113460.0744400429,119.73384969460933,96.41704781347875,32.14396926766238,여성,미혼,정규직,학사,기본,인천,없음,예,아니오,아니오,2025-09-18
CUST100051,83.81096248696947,3974964.0,51.28131345710048,170284.06797633573,111.15055175445656,92.76892865999802,46.69687750150641,남성,미혼,정규직,학사,표준,인천,없음,예,아니오,아니오,2025-09-18
CUST100052,67.90915607101127,4092836.0,39.67587418400277,126961.05929068281,98.86435366529248,79.07526287895152,34.82544303389104,여성,미혼,무직,고졸,기본,서울,없음,아니오,아니오,아니오,2025-09-18
CUST100053,,3812808.0,,,,,,남성,기혼,정규직,학사,표준,서울,없음,아니오,아니오,아니오,2025-09-18
CUST100054,95.68779539226017,2839633.0,44.8611162369198,151657.0637628745,87.6306158334144,85.65739645727139,41.59228930206341,여성,기혼,정규직,전문학사,기본,대전,없음,아니오,아니오,아니오,2025-09-18
CUST100055,119.39724133496132,2694051.0,72.22749699406938,241591.08203779193,132.4848370020163,99.0444994492816,67.23613891822743,남성,기혼,정규직,고졸,표준,울산,없음,예,아니오,아니오,2025-09-18
CUST100056,,3469335.0,,,,,,남성,사별,정규직,학사,프리미엄,부산,없음,아니오,아니오,예,2025-09-18
CUST100057,44.812075593476195,4907274.0,17.61969770322593,24630.057045816335,87.47468215419616,79.79856534138442,6.803302934883526,여성,미혼,정규직,고졸,프리미엄,대전,없음,아니오,아니오,아니오,2025-09-18
CUST100058,79.6678216788156,4152320.0,44.02170486775593,126010.08052989804,115.22499172025525,127.35413025663046,36.5862045296769,여성,기혼,은퇴,학사,표준,기타,없음,아니오,아니오,예,2025-09-18
CUST100059,,3055262.0,,,,,,여성,기혼,무직,학사,실버,서울,없음,아니오,아니오,아니오,2025-09-18
CUST100060,,?,,,,,,여성,미혼,정규직,학사,표준,대구,없음,아니오,아니오,아니오,2025-09-18
CUST100061,69.54844885982264,1000000.0,37.65823954199195,111048.06821910928,108.68029277515559,93.62776726885895,33.47662326129054,남성,이혼,정규직,고졸,표준,부산,없음,예,아니오,아니오,2025-09-18
CUST100062,,4878518.0,,,,,,여성,미혼,정규직,고졸,프리미엄,대구,없음,아니오,아니오,예,2025-09-18
CUST100063,74.01461777909874,1412343.0,55.29265819367082,171011.069512431,136.2411988930836,76.74967513376147,47.89730623383072,남성,기혼,정규직,학사,프리미엄,기타,없음,아니오,아니오,예,2025-09-18
CUST100064,117.6208699199958,3065070.0,77.86200164785784,242370.0906206688,146.49963402255813,115.73731955690049,66.458322857013,여성,,무직,박사,프리미엄,대전,없음,아니오,아니오,예,2025-09-18
CUST100065,90.79838428764677,2156396.0,37.84698606771393,119232.07605966517,106.7954025016826,111.61277903576581,32.72665602044771,여성,기혼,정규직,고졸,기본,서울,경증,예,아니오,아니오,2025-09-18
CUST100066,58.15553244343477,1946382.0,24.3754946894594,62293.06123101774,94.7317017364636,85.01957753844853,18.12019538384162,남성,기혼,정규직,전문학사,표준,부산,없음,예,예,아니오,2025-09-18
CUST100067,57.01478537324809,4892992.0,8.504450875555994,10861.045595418454,67.9562233473746,42.66305593301119,4.0215798905272155,여성,미혼,정규직,석사,가족형,기타,중증,아니오,아니오,아니오,2025-09-18
CUST100068,,2938758.0,,,,,,여성,기혼,계약직,고졸,표준,대전,없음,예,아니오,아니오,2025-09-18
CUST100069,,,,,,,,남성,미혼,비정규직,석사,프리미엄,인천,없음,예,아니오,아니오,2025-09-18
CUST100070,,3443695.0,,,,,,여성,기혼,정규직,학사,표준,대전,없음,아니오,아니오,아니오,2025-09-18
CUST100071,,32436273.0,,,,,,여성,기혼,정규직,학사,프리미엄,울산,없음,아니오,아니오,예,2025-09-18
CUST100072,72.7180715801807,3592186.0,39.99743038788009,115325.0645956337,96.83300531281314,88.86109365249477,33.6441076161976,여성,기혼,정규직,전문학사,표준,광주,없음,아니오,예,예,2025-09-18
CUST100073,,1960409.0,,,,,,남성,미혼,은퇴,전문학사,표준,인천,없음,예,아니오,아니오,2025-09-18
CUST100074,36.498579485594405,4695520.0,22.492632606646122,67224.04524374843,87.54690477292407,55.30471423798525,20.45355930651785,남성,기혼,정규직,전문학사,기본,대구,없음,아니오,아니오,아니오,2025-09-18
CUST100075,72.22149262765268,2907492.0,26.88496011063196,77099.0647684233,82.43067855129507,103.50356009502805,21.178133922172744,여성,이혼,정규직,석사,프리미엄,인천,없음,예,예,아니오,2025-09-18
CUST100076,56.820879119717006,1632101.0,23.743779628464463,50164.057535696775,89.35920991719196,70.28308787840277,15.794943355842058,남성,기혼,정규직,학사,프리미엄,대전,없음,아니오,아니오,아니오,2025-09-18
CUST100077,50.540593947847796,2986261.0,25.286209757268594,45494.05743667593,69.10539114408466,97.44637021981487,12.516078053233954,여성,미혼,계약직,학사,기본,기타,없음,아니오,아니오,아니오,2025-09-18
CUST100078,55.48425808213566,5300911.0,18.529948315754126,45298.056051055544,58.95403168993745,104.2961110459921,13.460963434010974,남성,미혼,정규직,석사,프리미엄,인천,없음,아니오,아니오,아니오,2025-09-18
CUST100079,39.030220795529516,4520266.0,25.97330350854138,76392.0583596774,92.53064905087572,101.92603274740105,22.977120804493136,여성,미혼,정규직,전문학사,표준,광주,없음,아니오,아니오,예,2025-09-18
CUST100080,,3081617.0,,,,,,여성,기혼,정규직,학사,기본,울산,없음,아니오,아니오,아니오,2025-09-18
CUST100081,46.383116703354744,3080890.0,9.41416497485808,1293.039237547484,68.56983471003956,20.345602257565417,2.394757105572648,남성,기혼,비정규직,학사,표준,대전,없음,예,아니오,아니오,2025-09-18
CUST100082,75.90433612866089,3114037.0,19.11626281604429,61405.05898256723,74.09578772132433,85.50278878148478,16.87526400072853,남성,사별,비정규직,석사,기본,광주,없음,예,아니오,예,2025-09-18
CUST100083,42.26836893599203,5992097.0,13.20328641496559,26260.063898474462,97.21846588755116,106.39337786527769,7.256867597870205,여성,미혼,무직,전문학사,표준,인천,없음,예,아니오,아니오,2025-09-18
CUST100084,56.9242483034243,3958322.0,29.601269072304806,90597.05710366339,86.56105490173852,86.36775607933511,26.865535832082845,여성,미혼,정규직,학사,표준,광주,없음,예,아니오,아니오,2025-09-18
CUST100085,48.76085337868742,4016049.0,14.680869728548288,49994.042921613625,79.00148954513143,41.33457429047635,15.733755977248345,남성,기혼,정규직,석사,프리미엄,인천,없음,아니오,아니오,아니오,2025-09-18
CUST100086,84.00306491447157,4736340.0,37.40291501230778,116362.06796636997,109.11276475935844,81.11712829016719,32.93230235939106,여성,기혼,은퇴,학사,프리미엄,부산,없음,예,아니오,아니오,2025-09-18
CUST100087,52.95086259801473,3786546.0,13.729562814192828,28822.0475833688,59.20318101127946,68.70736180171505,8.941166591036993,남성,,정규직,고졸,표준,인천,없음,아니오,아니오,아니오,2025-09-18
CUST100088,38.78871550610446,3189149.0,7.719617475602803,13690.037628242504,53.91463587562279,48.53891731664806,4.787609518318035,남성,기혼,비정규직,학사,기본,서울,없음,아니오,아니오,아니오,2025-09-18
CUST100089,69.25207167564879,3264380.0,35.81377207383966,77251.05493122447,98.55722978247776,37.54604467281129,21.209678226270896,여성,미혼,비정규직,전문학사,가족형,광주,없음,아니오,아니오,아니오,2025-09-18
CUST100090,,3414078.0,,,,,,남성,기혼,정규직,학사,프리미엄,기타,없음,아니오,아니오,아니오,2025-09-18
CUST100091,59.611869339935694,3455333.0,14.512985494180002,23949.04894357429,64.98915667114804,56.73170959754766,7.608415647833483,여성,기혼,정규직,석사,기본,울산,경증,예,아니오,아니오,2025-09-18
CUST100092,72.64648432769958,4373155.0,51.090427942042304,144133.08038114113,120.00973891182808,131.84041673091093,40.548384356708645,남성,기혼,계약직,학사,프리미엄,광주,없음,아니오,예,아니오,2025-09-18
CUST100093,47.35841025451144,3562335.0,10.219529268554723,33937.04851857123,68.98058187633396,75.04487432160501,10.342934649354202,남성,미혼,계약직,학사,기본,대구,없음,아니오,아니오,예,2025-09-18
CUST100094,,4379168.0,,,,,,남성,미혼,정규직,학사,표준,울산,없음,예,아니오,아니오,2025-09-18
CUST100095,68.94284169870559,3403140.0,53.19834776366659,163474.06569914098,102.71431189839738,102.51574928223364,45.82905570471029,여성,미혼,정규직,고졸,표준,울산,없음,아니오,아니오,아니오,2025-09-18
CUST100096,78.34953526523981,3594362.0,44.72523445193387,121245.07158368004,109.33278948182526,96.09929475183877,34.27255368223483,여성,기혼,정규직,전문학사,표준,대구,없음,아니오,아니오,아니오,2025-09-18
CUST100097,53.40549382623932,1102159.0,9.511570366838917,30465.051303390108,100.23884216179644,42.714083406782244,10.395501612566493,여성,미혼,정규직,석사,가족형,서울,없음,아니오,아니오,아니오,2025-09-18
CUST100098,59.539304246100514,4599593.0,20.384133606760123,63753.04564365547,61.31875169132858,61.763919774850216,18.503868270886542,남성,미혼,정규직,학사,표준,광주,없음,아니오,아니오,아니오,2025-09-18
CUST100099,,3915786.0,,,,,,남성,미혼,정규직,고졸,기본,울산,없음,아니오,예,아니오,2025-09-18
CUST100100,67.7224629382271,4697612.0,53.14612150511836,155357.07355551442,126.72718134072376,106.45693767088342,42.615074512135145,여성,기혼,은퇴,전문학사,가족형,광주,없음,아니오,아니오,아니오,2025-09-18
CUST100101,78.69280826717754,1000000.0,46.71979426355804,155284.06744591324,107.6067072015833,95.43624846355263,44.58854408161001,남성,미혼,계약직,학사,가족형,울산,없음,예,아니오,아니오,2025-09-18
CUST100102,,6006049.0,,,,,,여성,기혼,비정규직,학사,프리미엄,대구,없음,아니오,아니오,아니오,2025-09-18
CUST100103,123.91168115010252,3332492.0,108.93874114320663,334417.1047774073,168.52542931957916,155.1261711932776,91.6759357502594,남성,미혼,정규직,석사,표준,대구,없음,아니오,아니오,아니오,2025-09-18
CUST100104,53.64603576121108,4829819.0,14.560242688668835,49485.06658689534,100.382333241698,112.01745991711813,13.61925714607396,여성,미혼,정규직,전문학사,기본,인천,없음,아니오,아니오,예,2025-09-18
CUST100105,84.04564543430078,2252112.0,54.49709603769893,138324.07892758073,122.74135637209747,101.43984119348501,39.95614343448958,남성,기혼,은퇴,석사,프리미엄,대전,없음,아니오,아니오,아니오,2025-09-18
CUST100106,67.14039280587214,,4.840895355120036,11301.052651661294,80.57868987449366,48.67481783998983,6.149222424368955,여성,미혼,정규직,학사,기본,광주,없음,아니오,예,아니오,2025-09-18
CUST100107,70.37610109055117,2235901.0,37.14017886635123,95867.06543003615,99.38687002414939,86.15172399844491,27.317374425362956,남성,,정규직,학사,기본,광주,없음,아니오,아니오,아니오,2025-09-18
CUST100108,,2751477.0,,,,,,남성,미혼,정규직,학사,표준,울산,없음,아니오,아니오,아니오,2025-09-18
CUST100109,50.86710882602401,5796837.0,19.456049856874447,35738.06284939056,94.67356884177077,91.59058342328592,10.850627731351373,남성,기혼,무직,고졸,기본,인천,경증,아니오,아니오,아니오,2025-09-18
CUST100110,30.898566925056357,3271181.0,16.961864011045492,46827.04502901158,96.74474007420835,47.268082915821545,13.868839864167867,남성,기혼,무직,박사,기본,기타,없음,예,아니오,아니오,2025-09-18
CUST100111,,3760919.0,,,,,,남성,미혼,정규직,고졸,표준,광주,경증,아니오,예,아니오,2025-09-18
CUST100112,,4544081.0,,,,,,여성,미혼,무직,전문학사,기본,울산,없음,아니오,아니오,아니오,2025-09-18
CUST100113,138.04676416764187,4094818.0,72.02019527167054,243927.09446579788,147.62323504550798,113.9185174992145,67.88895394896457,여성,이혼,정규직,석사,기본,서울,없음,아니오,아니오,아니오,2025-09-18
CUST100114,,3680502.0,,,,,,여성,기혼,정규직,학사,기본,대구,없음,예,아니오,아니오,2025-09-18
CUST100115,,3937953.0,,,,,,여성,미혼,무직,석사,기본,대구,없음,아니오,아니오,아니오,2025-09-18
CUST100116,,6384098.0,,,,,,여성,기혼,무직,학사,프리미엄,대전,없음,아니오,예,아니오,2025-09-18
CUST100117,,?,,,,,,남성,기혼,정규직,전문학사,프리미엄,대구,없음,아니오,예,예,2025-09-18
CUST100118,94.15648323465493,3741318.0,48.27855092178104,142416.06947507025,95.3427071124188,89.92452155871922,42.066799875998555,남성,기혼,정규직,석사,표준,부산,없음,예,아니오,예,2025-09-18
CUST100119,,4760785.0,,,,,,남성,기혼,계약직,고졸,표준,서울,없음,아니오,아니오,아니오,2025-09-18
CUST100120,60.50661707395356,4826631.0,28.17479822479811,34448.06014932295,77.62761644699246,78.37921785396202,9.494416971852369,여성,미혼,계약직,석사,기본,서울,없음,예,아니오,아니오,2025-09-18
CUST100121,,4924436.0,,,,,,남성,미혼,무직,전문학사,기본,인천,없음,아니오,아니오,아니오,2025-09-18
CUST100122,111.01912828793263,4266476.0,62.05984872615546,192821.09305048338,137.445228137066,135.53927620277244,52.89371663271444,남성,기혼,정규직,석사,표준,부산,없음,예,아니오,아니오,2025-09-18
CUST100123,41.303111781978735,2128394.0,21.968661658343166,59163.062926677034,102.48730082010431,103.75876300098038,17.26477321501877,여성,기혼,은퇴,고졸,표준,광주,없음,예,아니오,예,2025-09-18
CUST100124,51.53452423783885,5460117.0,8.793965275548342,9041.06154787968,81.57785413600621,99.52432911551858,2.539695046190569,남성,미혼,은퇴,학사,프리미엄,대전,없음,예,아니오,아니오,2025-09-18
CUST100125,76.71962825856566,2124385.0,17.948475667369543,31561.069217885815,75.0593432784869,107.68225025873524,11.712954111942466,여성,기혼,정규직,석사,표준,서울,없음,예,아니오,아니오,2025-09-18
CUST100126,106.30588962388546,3863162.0,80.91493712858708,277624.0903957406,142.80554278574212,144.9651286573802,78.11035092462416,여성,기혼,무직,학사,표준,부산,없음,예,아니오,아니오,2025-09-18
CUST100127,80.84545661215512,2594868.0,60.15522369410504,166746.0731090973,114.20088623490514,99.11582197221128,47.73230139062527,남성,사별,정규직,학사,기본,부산,없음,아니오,아니오,아니오,2025-09-18
CUST100128,50.11312157107253,3423033.0,17.13995990386113,25741.054844569433,81.77365612742186,67.66829546897952,11.104220236124501,남성,기혼,정규직,석사,프리미엄,울산,경증,아니오,아니오,아니오,2025-09-18
CUST100129,61.36718939096418,3894514.0,37.528171154644184,95834.063176837,103.67445239200353,82.9421740120592,26.30623034300374,,,정규직,학사,표준,서울,없음,아니오,아니오,아니오,2025-09-18
CUST100130,66.9146834357416,3885628.0,54.708255488953554,159720.0679319869,115.10101118307009,96.41029246971652,44.80350619921469,여성,미혼,정규직,석사,프리미엄,기타,없음,아니오,아니오,예,2025-09-18
CUST100131,46.26632746274181,4006304.0,10.626153107014837,15365.055666153648,71.7796327194516,91.05172877971421,6.264485985373279,남성,기혼,정규직,학사,표준,울산,없음,아니오,아니오,아니오,2025-09-18
CUST100132,76.3037944266569,5436453.0,59.49878746079555,172058.0712763929,109.5324938155944,106.69834970244297,48.18511558492588,여성,,무직,고졸,프리미엄,인천,없음,아니오,아니오,아니오,2025-09-18
CUST100133,,4044241.0,,,,,,여성,미혼,정규직,고졸,가족형,부산,없음,예,예,아니오,2025-09-18
CUST100134,,3207012.0,,,,,,남성,미혼,정규직,전문학사,가족형,대구,없음,예,아니오,아니오,2025-09-18
CUST100135,95.3832721438166,,40.58451746745369,128653.07589065979,134.72774587386766,76.40126462285569,35.30662932486876,남성,이혼,무직,고졸,표준,부산,없음,아니오,아니오,예,2025-09-18
CUST100136,60.63379390416961,4927364.0,36.82826754639222,104099.06041469213,118.09619637994783,59.345667229448416,30.566309919815065,여성,미혼,정규직,학사,표준,광주,없음,아니오,아니오,아니오,2025-09-18
CUST100137,68.07967431429175,2026870.0,45.55985177735904,109387.05660040826,82.62766148621982,69.22064840745047,30.010048206236018,남성,기혼,정규직,고졸,표준,서울,없음,예,아니오,아니오,2025-09-18
CUST100138,,4216880.0,,,,,,여성,미혼,정규직,고졸,가족형,기타,없음,예,아니오,예,2025-09-18
CUST100139,37.59734580304346,4341407.0,12.527830901925896,38418.05380978,97.7861593127734,76.73391885907472,10.575763337735662,남성,미혼,정규직,고졸,표준,광주,없음,예,아니오,아니오,2025-09-18
CUST100140,56.4788579293072,3142923.0,20.023701727565207,45296.05253270581,78.14473316037943,64.30126043051476,14.456910000308852,여성,기혼,비정규직,석사,기본,인천,없음,아니오,아니오,아니오,2025-09-18
CUST100141,,5150848.0,,,,,,여성,미혼,계약직,학사,표준,대전,없음,예,아니오,아니오,2025-09-18
CUST100142,45.75371710235481,3319933.0,32.05784386221958,86338.05343088346,88.50839615882511,76.43531129612765,25.695341628327423,여성,기혼,정규직,전문학사,기본,대구,없음,아니오,아니오,아니오,2025-09-18
CUST100143,80.88356052488476,3650691.0,46.267657406226164,134088.07890479206,131.09703592543133,102.11387692338117,39.796426730983534,남성,기혼,계약직,석사,표준,서울,없음,아니오,아니오,예,2025-09-18
CUST100144,122.49150781920996,3292313.0,86.97311287713933,281937.09635809617,153.57154121324206,135.4173501479173,78.29784922041684,남성,미혼,정규직,고졸,표준,부산,없음,아니오,예,아니오,2025-09-18
CUST100145,,3518694.0,,,,,,여성,미혼,정규직,박사,표준,대구,없음,예,아니오,아니오,2025-09-18
CUST100146,63.41274778393004,2184469.0,40.56635764577544,132417.06305463993,117.73405032854441,79.49932811085647,37.32314182323856,남성,미혼,비정규직,학사,기본,부산,없음,예,아니오,아니오,2025-09-18
CUST100147,68.40122894097165,1771938.0,46.80775001213386,154158.08054750043,129.51029709920635,137.3660874180351,43.293891085766596,,미혼,비정규직,고졸,가족형,인천,없음,아니오,예,아니오,2025-09-18
CUST100148,86.24675467760815,5413406.0,46.013269840293155,139088.07124847014,112.54249625593046,88.02060535630793,41.15758718266231,여성,기혼,정규직,학사,프리미엄,대전,없음,아니오,아니오,아니오,2025-09-18
CUST100149,55.219882413213824,2483646.0,13.032861824941604,37077.05046120322,89.22367695794098,49.9125860616619,11.205087971302246,남성,미혼,정규직,학사,프리미엄,기타,없음,아니오,아니오,예,2025-09-18
CUST100150,101.35804008167023,2310329.0,64.79279372155413,205019.0806164845,126.32443963786274,110.78625650837074,56.2207257831288,남성,미혼,정규직,학사,표준,기타,없음,아니오,아니오,아니오,2025-09-18
